concept,festival,origin,material,parts,playing_method,sound,traditional_player,instrument_type,description,none
description,0.0,0.0,0.0,0.029,0.029,0.0,0.0,0.0,0.943,0
festival,0.25,0.0,0.35,0.0,0.3,0.0,0.0,0.0,0.1,0
instrument_type,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.385,0.0,0
material,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
origin,0.0,0.083,0.333,0.0,0.583,0.0,0.0,0.0,0.0,0
parts,0.714,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0
playing_method,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
sound,0.0,0.0,0.0,0.0,0.143,0.857,0.0,0.0,0.0,0
traditional_player,0.0,0.0,0.053,0.0,0.0,0.0,0.947,0.0,0.0,0
