epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.11544011544011544,2.144728422164917,3.6e-05,5.405356979370117,10,,,,,,,,,
0.23088023088023088,2.53202223777771,7.6e-05,5.025580215454101,20,,,,,,,,,
0.3463203463203463,3.0412540435791016,0.000116,5.322943115234375,30,,,,,,,,,
0.46176046176046176,2.89057993888855,0.00015600000000000002,4.825631713867187,40,,,,,,,,,
0.5772005772005772,2.3675737380981445,0.000196,3.8208751678466797,50,,,,,,,,,
0.6926406926406926,10.671111106872559,0.000199730450762985,2.9103681564331056,60,,,,,,,,,
0.8080808080808081,1.85762619972229,0.00019880054107646467,1.9132562637329102,70,,,,,,,,,
0.9235209235209235,1.5679479837417603,0.00019721313009002226,1.5392434120178222,80,,,,,,,,,
1.0,,,,87,1.1368416547775269,144.6419,2.178,1.092,,,,,
1.0346320346320346,0.6235596537590027,0.00019497878176186827,1.1174371719360352,90,,,,,,,,,
1.15007215007215,,0.000192112365311485,1.2225290298461915,100,,,,,,,,,
1.2655122655122655,1.0934114456176758,0.00018863295626742437,1.1036646842956543,110,,,,,,,,,
1.380952380952381,1.0575965642929077,0.0001845637095228124,0.8003539085388184,120,,,,,,,,,
1.4963924963924964,0.9461760520935059,0.00017993170524335615,0.7310308933258056,130,,,,,,,,,
1.6118326118326118,1.0954828262329102,0.00017476776865330847,0.7248559951782226,140,,,,,,,,,
1.7272727272727273,1.0010186433792114,0.00016910626489868649,0.803708839416504,150,,,,,,,,,
1.8427128427128427,0.9351018667221069,0.0001629848703528949,0.6511827945709229,160,,,,,,,,,
1.9581529581529582,0.843254029750824,0.00015644432188667695,0.6612253189086914,170,,,,,,,,,
2.0,,,,174,0.8190642595291138,144.5724,2.179,1.093,,,,,
2.069264069264069,0.8595988750457764,0.00014952814577096071,0.564576244354248,180,,,,,,,,,
2.184704184704185,0.8365675806999207,0.00014228236801670763,0.5551249980926514,190,,,,,,,,,
2.3001443001443,1.0586364269256592,0.00013475520807940304,0.5654698848724365,200,,,,,,,,,
2.4155844155844157,0.9233221411705017,0.0001269967579665357,0.5927400588989258,210,,,,,,,,,
2.531024531024531,3.082580089569092,0.00011905864888355263,0.5470115184783936,220,,,,,,,,,
2.6464646464646466,1.5583018064498901,0.00011099370763670523,0.5525755405426025,230,,,,,,,,,
2.761904761904762,2.61078143119812,0.00010285560507936961,0.6372881889343261,240,,,,,,,,,
2.8773448773448775,2.904615640640259,9.469849894137253e-05,0.647546911239624,250,,,,,,,,,
2.9927849927849928,2.509385347366333,8.657667341823448e-05,0.6790323257446289,260,,,,,,,,,
3.0,,,,261,0.8467969298362732,143.9339,2.189,1.098,,,,,
3.103896103896104,2.733783483505249,7.854417791880507e-05,0.6267459869384766,270,,,,,,,,,
3.219336219336219,0.8345222473144531,7.065446737536456e-05,0.622084665298462,280,,,,,,,,,
3.334776334776335,2.109403610229492,6.29600465098689e-05,0.7703707218170166,290,,,,,,,,,
3.45021645021645,1.1528271436691284,5.551212042368792e-05,0.6743766307830811,300,,,,,,,,,
3.5656565656565657,,4.836025383610382e-05,0.7586161136627197,310,,,,,,,,,
3.681096681096681,,4.155204123928205e-05,0.7709390163421631,320,,,,,,,,,
3.7965367965367967,0.0,3.513279016477844e-05,0.7124184608459473,330,,,,,,,,,
3.911976911976912,,2.9145219669391943e-05,0.7568081855773926,340,,,,,,,,,
4.0,,,,348,0.8728870153427124,144.4464,2.181,1.094,,,,,
4.0,,,,348,,,,,4.822005039326822e+16,1.442038146928809,8802.0242,0.787,0.049
4.0,,,,348,0.8190642595291138,145.8222,2.16,1.084,,,,,
